,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
71403,71403,48655,Male,Loyal Customer,59,Business travel,Business,2539,1,1,1,1,4,5,4,5,5,5,4,3,5,3,118,128.0,satisfied
78588,78588,80806,Female,Loyal Customer,43,Business travel,Business,2279,2,2,2,2,4,4,4,4,4,4,4,3,4,5,0,0.0,satisfied
3222,3222,69048,Female,Loyal Customer,61,Business travel,Business,1521,2,4,2,4,4,3,4,2,2,1,2,2,2,1,0,0.0,neutral or dissatisfied
17789,17789,40849,Male,Loyal Customer,11,Personal Travel,Eco,532,5,1,5,2,2,5,1,2,4,5,3,1,2,2,0,0.0,satisfied
26570,26570,111839,Female,Loyal Customer,17,Personal Travel,Business,804,1,1,1,4,5,1,5,5,1,1,3,2,3,5,27,19.0,neutral or dissatisfied
5433,5433,58577,Male,Loyal Customer,19,Personal Travel,Eco,403,2,4,5,2,2,5,1,2,4,4,4,3,4,2,0,0.0,neutral or dissatisfied
6858,6858,29189,Male,Loyal Customer,26,Personal Travel,Eco Plus,605,4,4,4,3,2,4,1,2,5,3,5,3,5,2,0,14.0,neutral or dissatisfied
74137,74137,21647,Male,Loyal Customer,23,Business travel,Eco Plus,722,4,5,5,5,4,4,3,4,2,3,5,4,4,4,6,0.0,satisfied
98096,98096,9249,Male,Loyal Customer,10,Personal Travel,Eco,100,2,1,0,3,5,0,5,5,4,4,4,1,3,5,0,0.0,neutral or dissatisfied
26070,26070,113973,Male,Loyal Customer,49,Business travel,Business,1728,1,1,4,1,2,5,4,5,5,5,5,4,5,5,51,33.0,satisfied
99457,99457,54473,Male,Loyal Customer,39,Business travel,Eco,925,4,4,4,4,4,4,4,4,2,4,5,3,4,4,62,46.0,satisfied
56656,56656,111647,Female,Loyal Customer,58,Personal Travel,Eco,1558,2,5,2,4,3,4,4,5,5,2,5,5,5,3,7,0.0,neutral or dissatisfied
45538,45538,3629,Female,disloyal Customer,21,Business travel,Eco,431,4,5,4,5,3,4,3,3,3,4,4,4,5,3,0,0.0,neutral or dissatisfied
53763,53763,39462,Male,Loyal Customer,60,Personal Travel,Eco,129,4,0,4,1,2,4,2,2,5,4,5,3,4,2,0,0.0,neutral or dissatisfied
9869,9869,56933,Male,Loyal Customer,49,Business travel,Business,2454,2,5,5,5,2,2,2,3,1,3,2,2,2,2,2,20.0,neutral or dissatisfied
61366,61366,100237,Male,Loyal Customer,44,Personal Travel,Business,1052,4,4,4,4,2,5,5,5,5,4,5,5,5,4,0,2.0,neutral or dissatisfied
16471,16471,24007,Female,disloyal Customer,34,Business travel,Eco,427,3,0,3,1,5,3,3,5,3,1,3,5,3,5,8,19.0,neutral or dissatisfied
36153,36153,91250,Female,Loyal Customer,63,Personal Travel,Eco,270,4,0,4,3,1,4,3,2,2,4,4,1,2,1,33,30.0,neutral or dissatisfied
43887,43887,57886,Male,Loyal Customer,47,Business travel,Business,305,0,0,0,4,5,5,5,1,1,1,1,5,1,5,0,0.0,satisfied
49952,49952,91390,Male,Loyal Customer,55,Business travel,Eco,2218,1,2,2,2,1,1,1,1,2,5,3,2,3,1,20,7.0,neutral or dissatisfied
39749,39749,104106,Male,Loyal Customer,62,Business travel,Eco,297,4,1,1,1,4,4,4,4,3,3,3,3,2,4,0,0.0,satisfied
43950,43950,104775,Male,disloyal Customer,50,Business travel,Business,587,2,3,3,3,1,2,1,1,5,4,5,5,4,1,53,47.0,neutral or dissatisfied
35743,35743,10445,Female,Loyal Customer,49,Business travel,Business,2497,5,5,5,5,5,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
34577,34577,114079,Female,disloyal Customer,54,Business travel,Business,1947,3,4,4,4,3,3,3,3,5,2,5,5,5,3,0,0.0,neutral or dissatisfied
14367,14367,9603,Male,Loyal Customer,27,Personal Travel,Eco,288,0,5,0,3,2,0,2,2,3,2,4,5,4,2,16,0.0,satisfied
66446,66446,40557,Female,Loyal Customer,56,Business travel,Business,3361,4,4,4,4,4,4,1,5,5,5,5,1,5,5,0,0.0,satisfied
10420,10420,71443,Female,disloyal Customer,26,Business travel,Business,867,3,3,3,4,5,3,2,5,3,4,4,5,4,5,0,0.0,neutral or dissatisfied
49337,49337,29207,Female,disloyal Customer,44,Business travel,Eco,891,4,4,4,4,3,4,3,3,1,2,5,1,3,3,44,83.0,satisfied
6093,6093,10444,Female,Loyal Customer,52,Business travel,Business,396,5,5,5,5,5,5,5,3,5,4,5,5,3,5,66,139.0,satisfied
97223,97223,117848,Female,disloyal Customer,38,Business travel,Eco,1180,3,3,3,4,1,3,1,1,4,5,2,4,3,1,9,0.0,neutral or dissatisfied
86625,86625,124173,Male,Loyal Customer,70,Personal Travel,Eco,2133,3,1,3,2,2,3,2,2,1,1,2,4,3,2,0,0.0,neutral or dissatisfied
81600,81600,3374,Male,Loyal Customer,36,Business travel,Business,3965,2,4,2,4,5,3,3,2,2,2,2,2,2,2,0,17.0,neutral or dissatisfied
85266,85266,19868,Female,Loyal Customer,48,Business travel,Business,2498,0,0,0,1,3,4,4,1,1,1,1,5,1,4,25,19.0,satisfied
24931,24931,24982,Female,disloyal Customer,24,Business travel,Eco,484,5,4,5,2,1,5,1,1,1,4,3,1,1,1,0,0.0,satisfied
85123,85123,109272,Male,Loyal Customer,29,Personal Travel,Eco Plus,616,3,4,3,3,1,3,1,1,3,5,5,5,4,1,0,0.0,neutral or dissatisfied
98213,98213,104842,Female,Loyal Customer,56,Personal Travel,Eco,472,4,2,4,3,1,4,4,1,1,4,1,3,1,2,0,16.0,neutral or dissatisfied
21400,21400,80761,Male,Loyal Customer,57,Business travel,Business,3617,3,4,3,3,3,5,5,4,4,4,4,5,4,5,30,17.0,satisfied
73653,73653,57428,Male,Loyal Customer,41,Business travel,Business,3137,1,1,1,1,3,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
98405,98405,69812,Female,Loyal Customer,46,Business travel,Business,2699,5,2,5,5,5,5,5,5,5,5,5,4,5,4,0,0.0,satisfied
18125,18125,80610,Female,Loyal Customer,49,Business travel,Business,3705,5,5,5,5,5,4,4,5,5,5,5,3,5,5,0,0.0,satisfied
24474,24474,97607,Female,disloyal Customer,30,Business travel,Eco,442,2,0,1,1,4,1,2,4,1,3,3,3,2,4,2,1.0,neutral or dissatisfied
47619,47619,21200,Male,Loyal Customer,35,Business travel,Business,192,4,4,4,4,1,1,1,4,4,4,4,2,4,3,0,0.0,satisfied
40472,40472,59850,Female,Loyal Customer,53,Business travel,Business,3423,4,4,4,4,4,4,5,4,4,4,4,5,4,3,0,0.0,satisfied
51707,51707,38383,Male,Loyal Customer,24,Business travel,Eco Plus,1180,4,3,3,3,4,5,5,4,4,5,5,1,5,4,0,0.0,satisfied
74443,74443,44823,Male,Loyal Customer,47,Business travel,Business,2773,1,1,1,1,3,2,1,4,4,4,4,2,4,5,12,20.0,satisfied
45514,45514,93176,Female,Loyal Customer,12,Personal Travel,Eco,1075,2,4,2,5,1,2,1,1,5,5,5,4,5,1,16,5.0,neutral or dissatisfied
27033,27033,95410,Male,Loyal Customer,40,Personal Travel,Eco,677,3,4,3,4,3,3,3,3,4,3,5,5,4,3,49,26.0,neutral or dissatisfied
69939,69939,70296,Female,Loyal Customer,33,Personal Travel,Eco,852,2,4,2,3,5,2,5,5,3,4,5,3,4,5,16,17.0,neutral or dissatisfied
18714,18714,63734,Female,Loyal Customer,18,Personal Travel,Eco,1660,3,3,3,5,3,3,3,3,3,4,5,5,4,3,0,0.0,neutral or dissatisfied
8727,8727,117722,Male,disloyal Customer,26,Business travel,Business,935,5,5,5,2,1,5,1,1,5,5,5,3,5,1,7,1.0,satisfied
77200,77200,7190,Male,Loyal Customer,47,Business travel,Business,2722,1,1,5,1,5,4,5,4,4,4,4,5,4,5,0,0.0,satisfied
60839,60839,39568,Male,disloyal Customer,35,Business travel,Eco,954,3,3,3,4,4,3,4,4,2,3,4,2,5,4,0,7.0,neutral or dissatisfied
74357,74357,82768,Male,Loyal Customer,43,Business travel,Business,409,3,3,3,3,5,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
30244,30244,98959,Female,Loyal Customer,30,Business travel,Business,2366,1,1,3,1,5,5,5,5,5,5,5,5,4,5,0,0.0,satisfied
85125,85125,50206,Male,Loyal Customer,55,Business travel,Business,3130,2,3,3,3,1,2,1,3,1,4,3,1,4,1,204,208.0,neutral or dissatisfied
2900,2900,48177,Male,Loyal Customer,43,Business travel,Eco,192,4,4,4,4,4,4,4,4,1,4,2,4,1,4,0,0.0,neutral or dissatisfied
6514,6514,65950,Male,Loyal Customer,27,Business travel,Business,1372,1,1,4,1,5,5,5,5,5,4,4,4,5,5,2,0.0,satisfied
9436,9436,24736,Male,Loyal Customer,51,Business travel,Business,1597,3,3,3,3,3,5,4,5,5,5,5,5,5,3,0,31.0,satisfied
94284,94284,65924,Male,Loyal Customer,52,Personal Travel,Eco,569,3,2,3,1,4,3,2,4,1,5,2,4,2,4,0,0.0,neutral or dissatisfied
77781,77781,55646,Male,Loyal Customer,52,Business travel,Business,315,2,2,2,2,5,5,4,5,5,5,5,3,5,5,57,65.0,satisfied
31760,31760,111261,Female,Loyal Customer,59,Business travel,Business,1652,2,2,4,4,3,4,4,2,2,2,2,2,2,3,93,84.0,neutral or dissatisfied
52059,52059,26189,Female,disloyal Customer,21,Business travel,Eco,406,4,1,4,2,1,4,1,1,3,2,3,2,3,1,22,19.0,neutral or dissatisfied
26961,26961,17078,Female,Loyal Customer,11,Personal Travel,Business,416,3,5,5,2,5,5,5,5,2,2,4,1,5,5,0,0.0,neutral or dissatisfied
103725,103725,37609,Female,Loyal Customer,27,Personal Travel,Eco,1102,3,3,3,3,2,3,2,2,1,1,4,4,3,2,27,61.0,neutral or dissatisfied
14615,14615,1423,Male,Loyal Customer,60,Business travel,Business,102,0,4,0,4,4,5,4,3,3,3,3,4,3,4,0,0.0,satisfied
51232,51232,60224,Male,Loyal Customer,42,Business travel,Eco,1506,1,2,1,2,1,1,1,1,2,1,3,4,3,1,0,0.0,neutral or dissatisfied
1606,1606,31371,Male,Loyal Customer,43,Business travel,Eco,977,2,3,3,3,2,2,2,2,4,3,2,4,3,2,5,10.0,neutral or dissatisfied
92451,92451,48095,Male,Loyal Customer,27,Business travel,Business,173,3,3,3,3,5,5,4,5,4,2,4,1,2,5,0,0.0,satisfied
103838,103838,58979,Male,Loyal Customer,51,Business travel,Business,1723,2,2,2,2,4,4,4,5,5,5,5,5,5,5,14,2.0,satisfied
100076,100076,11211,Female,Loyal Customer,12,Personal Travel,Eco,429,1,4,1,4,3,1,3,3,1,1,4,1,4,3,9,57.0,neutral or dissatisfied
54410,54410,47931,Male,Loyal Customer,30,Personal Travel,Eco,817,4,4,4,3,4,4,4,4,4,1,4,4,2,4,0,0.0,satisfied
29742,29742,75960,Male,Loyal Customer,54,Business travel,Business,2432,1,3,3,3,5,3,3,1,1,1,1,1,1,4,0,0.0,neutral or dissatisfied
72878,72878,9183,Female,Loyal Customer,49,Business travel,Business,2510,4,4,4,4,2,5,5,2,2,2,2,4,2,5,0,0.0,satisfied
60564,60564,116815,Male,Loyal Customer,27,Business travel,Business,3588,2,2,2,2,5,5,5,5,5,5,5,5,4,5,0,0.0,satisfied
63366,63366,39253,Female,Loyal Customer,40,Business travel,Business,3858,1,1,2,1,4,5,1,4,4,5,3,2,4,3,0,0.0,satisfied
80944,80944,31318,Male,Loyal Customer,34,Personal Travel,Eco,680,4,5,4,1,4,4,4,4,4,4,4,4,5,4,33,34.0,neutral or dissatisfied
41274,41274,33455,Female,Loyal Customer,9,Personal Travel,Eco,2417,3,4,3,2,3,1,1,1,2,5,4,1,3,1,42,84.0,neutral or dissatisfied
53976,53976,47480,Female,Loyal Customer,24,Personal Travel,Eco,532,2,2,2,3,4,2,4,4,2,1,3,4,2,4,69,59.0,neutral or dissatisfied
96020,96020,55979,Female,Loyal Customer,64,Personal Travel,Eco,1620,4,3,4,4,3,2,3,3,3,4,3,1,3,3,0,0.0,neutral or dissatisfied
42914,42914,37220,Female,Loyal Customer,32,Business travel,Business,3902,4,2,4,4,4,4,4,4,4,3,4,4,4,4,0,3.0,satisfied
46678,46678,98678,Male,Loyal Customer,46,Personal Travel,Eco,992,1,4,1,4,5,1,5,5,5,2,4,5,5,5,2,0.0,neutral or dissatisfied
17102,17102,53521,Male,Loyal Customer,47,Personal Travel,Eco,2419,3,2,3,2,3,3,3,2,5,2,2,3,4,3,9,40.0,neutral or dissatisfied
17287,17287,57688,Female,Loyal Customer,52,Business travel,Business,867,4,4,4,4,3,5,4,5,5,5,5,5,5,4,10,17.0,satisfied
99763,99763,111439,Female,Loyal Customer,45,Business travel,Business,3769,5,5,5,5,5,5,5,4,4,4,4,3,4,4,1,8.0,satisfied
36388,36388,82933,Female,disloyal Customer,41,Business travel,Business,594,3,3,3,2,4,3,4,4,5,5,4,4,4,4,0,0.0,satisfied
72981,72981,40371,Male,Loyal Customer,44,Business travel,Business,2354,5,4,4,4,4,3,4,5,5,4,5,2,5,4,11,16.0,neutral or dissatisfied
94946,94946,25270,Male,disloyal Customer,25,Business travel,Eco,425,3,0,3,3,4,3,4,4,3,4,4,1,3,4,77,87.0,neutral or dissatisfied
5194,5194,88423,Male,Loyal Customer,44,Business travel,Business,1889,2,2,1,2,3,5,5,3,3,3,3,5,3,5,0,1.0,satisfied
45944,45944,65832,Male,Loyal Customer,39,Business travel,Business,1389,4,4,4,4,2,5,5,4,4,4,4,5,4,3,65,44.0,satisfied
51240,51240,34655,Female,Loyal Customer,42,Business travel,Business,3842,2,2,2,2,3,4,5,4,4,4,4,3,4,4,0,0.0,satisfied
26280,26280,15378,Male,Loyal Customer,34,Business travel,Business,164,2,2,2,2,4,5,3,4,4,4,3,5,4,5,0,0.0,satisfied
41363,41363,67158,Male,disloyal Customer,18,Business travel,Eco,1017,1,1,1,3,1,1,1,1,3,5,2,3,3,1,22,17.0,neutral or dissatisfied
11921,11921,35066,Female,disloyal Customer,24,Business travel,Business,1076,2,2,2,2,1,2,1,1,2,2,2,2,3,1,118,96.0,neutral or dissatisfied
65074,65074,129160,Male,Loyal Customer,42,Business travel,Eco,554,5,1,1,1,5,5,5,5,1,3,4,1,4,5,34,34.0,satisfied
38009,38009,103578,Female,Loyal Customer,60,Personal Travel,Eco,689,0,5,1,4,5,5,4,3,3,1,3,3,3,5,0,0.0,satisfied
17594,17594,75498,Male,Loyal Customer,59,Business travel,Business,2330,5,5,5,5,2,5,5,2,2,2,2,5,2,3,0,0.0,satisfied
103751,103751,97371,Male,Loyal Customer,24,Personal Travel,Eco,347,1,2,1,4,1,1,3,1,1,4,3,3,4,1,65,62.0,neutral or dissatisfied
31483,31483,72655,Male,Loyal Customer,15,Personal Travel,Eco,918,3,5,3,4,5,3,5,5,5,5,5,3,5,5,13,12.0,neutral or dissatisfied
76206,76206,123705,Male,Loyal Customer,64,Personal Travel,Eco,214,2,0,2,4,2,2,2,2,3,2,5,3,5,2,0,0.0,neutral or dissatisfied
42697,42697,50972,Male,Loyal Customer,35,Personal Travel,Eco,262,2,2,2,3,2,2,1,2,2,3,3,1,3,2,50,53.0,neutral or dissatisfied
50810,50810,17507,Male,Loyal Customer,36,Business travel,Business,341,1,5,5,5,3,2,2,1,1,1,1,2,1,1,0,0.0,neutral or dissatisfied
4929,4929,93096,Female,Loyal Customer,24,Business travel,Eco,641,3,4,4,4,3,3,2,3,3,2,2,1,3,3,6,8.0,neutral or dissatisfied
90146,90146,120657,Female,Loyal Customer,53,Business travel,Business,3675,4,4,4,4,4,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
49114,49114,30730,Female,Loyal Customer,28,Business travel,Eco,1069,0,0,0,5,2,0,2,2,5,5,1,3,3,2,2,4.0,satisfied
96083,96083,65104,Male,Loyal Customer,67,Personal Travel,Eco,354,2,5,2,4,4,2,4,4,3,4,5,5,4,4,0,0.0,neutral or dissatisfied
62822,62822,113895,Male,disloyal Customer,42,Business travel,Eco,2329,2,2,2,3,2,2,2,2,1,1,3,3,3,2,0,0.0,neutral or dissatisfied
28393,28393,80590,Male,Loyal Customer,62,Personal Travel,Eco,1747,2,0,2,5,4,2,4,4,4,4,4,4,4,4,0,0.0,neutral or dissatisfied
41658,41658,90273,Female,Loyal Customer,62,Business travel,Business,3272,4,4,4,4,2,5,5,3,3,4,3,4,3,4,24,22.0,satisfied
12544,12544,43579,Male,Loyal Customer,48,Personal Travel,Eco,1499,3,2,4,4,3,4,3,3,1,1,4,2,4,3,0,6.0,neutral or dissatisfied
1817,1817,30053,Male,Loyal Customer,27,Business travel,Business,183,4,4,4,4,5,4,4,5,4,3,4,3,4,5,0,7.0,neutral or dissatisfied
55491,55491,73975,Female,Loyal Customer,8,Personal Travel,Eco,2585,1,4,1,4,1,4,4,3,4,4,5,4,5,4,0,0.0,neutral or dissatisfied
18867,18867,50878,Male,Loyal Customer,22,Personal Travel,Eco,89,2,4,2,1,4,2,4,4,3,5,4,5,5,4,30,38.0,neutral or dissatisfied
6284,6284,71343,Male,Loyal Customer,27,Personal Travel,Eco,1671,3,3,3,4,4,3,4,4,2,3,4,4,4,4,35,49.0,neutral or dissatisfied
91512,91512,26158,Male,Loyal Customer,33,Business travel,Business,581,2,2,2,2,4,4,4,4,3,2,4,1,5,4,1,0.0,satisfied
86432,86432,105712,Female,disloyal Customer,21,Business travel,Business,787,4,0,5,5,3,5,3,3,3,3,4,3,4,3,31,18.0,satisfied
11576,11576,41281,Female,disloyal Customer,24,Business travel,Business,812,0,0,0,2,2,0,4,2,5,5,3,4,1,2,0,0.0,satisfied
821,821,3683,Female,Loyal Customer,56,Business travel,Business,431,3,4,4,4,4,2,3,3,3,3,3,4,3,2,0,5.0,neutral or dissatisfied
19072,19072,46619,Female,Loyal Customer,43,Business travel,Business,125,0,3,0,5,2,3,4,2,2,2,2,3,2,4,2,0.0,satisfied
77940,77940,118107,Male,Loyal Customer,14,Personal Travel,Eco,1999,5,4,5,2,2,4,2,2,1,2,5,4,2,2,0,0.0,satisfied
1510,1510,648,Male,disloyal Customer,21,Business travel,Eco,396,3,0,3,2,2,3,2,2,5,2,4,4,5,2,0,0.0,neutral or dissatisfied
72949,72949,18672,Female,Loyal Customer,41,Personal Travel,Eco,190,5,2,5,3,5,5,2,5,1,2,4,4,4,5,0,0.0,satisfied
273,273,1150,Female,Loyal Customer,15,Personal Travel,Eco,89,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0.0,neutral or dissatisfied
11370,11370,71522,Male,Loyal Customer,31,Business travel,Business,2914,3,3,3,3,3,3,3,3,4,4,4,5,5,3,2,18.0,satisfied
95479,95479,18101,Female,Loyal Customer,27,Business travel,Business,610,1,1,1,1,5,4,5,5,3,3,3,2,2,5,0,0.0,satisfied
72613,72613,71646,Female,Loyal Customer,49,Personal Travel,Eco,1182,3,5,3,1,3,4,5,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
61162,61162,26385,Female,Loyal Customer,53,Personal Travel,Eco Plus,861,3,3,3,2,4,1,5,4,4,3,4,5,4,2,0,0.0,neutral or dissatisfied
55605,55605,78421,Female,Loyal Customer,60,Business travel,Business,453,3,3,3,3,5,5,5,3,3,3,3,3,3,5,2,0.0,satisfied
60204,60204,100118,Male,Loyal Customer,43,Business travel,Business,725,2,2,2,2,4,5,5,3,3,3,3,5,3,5,88,64.0,satisfied
80604,80604,106835,Male,disloyal Customer,20,Business travel,Eco,1297,4,4,4,3,5,4,5,5,4,4,5,4,4,5,42,53.0,satisfied
83013,83013,30081,Male,Loyal Customer,53,Personal Travel,Eco,253,3,5,3,2,4,3,4,4,2,2,1,4,2,4,0,0.0,neutral or dissatisfied
34541,34541,30595,Female,Loyal Customer,40,Business travel,Eco,472,4,5,5,5,4,4,4,4,5,1,1,5,4,4,4,0.0,satisfied
43795,43795,67358,Male,Loyal Customer,26,Business travel,Business,3766,5,5,5,5,5,5,5,5,5,2,5,4,4,5,0,0.0,satisfied
3898,3898,8237,Male,Loyal Customer,61,Personal Travel,Eco,530,4,2,4,3,4,4,3,4,1,2,4,1,3,4,0,0.0,neutral or dissatisfied
67507,67507,101540,Female,Loyal Customer,58,Personal Travel,Eco,345,1,4,1,1,2,4,5,2,2,1,2,3,2,4,0,0.0,neutral or dissatisfied
58271,58271,107774,Female,Loyal Customer,80,Business travel,Business,2101,3,5,3,3,3,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
85942,85942,41810,Male,Loyal Customer,34,Business travel,Eco,489,2,2,2,2,2,2,2,2,1,1,3,1,4,2,0,0.0,neutral or dissatisfied
39798,39798,45209,Male,Loyal Customer,35,Business travel,Eco,1013,3,1,2,1,3,3,3,3,1,3,4,3,4,3,51,57.0,neutral or dissatisfied
91200,91200,60652,Male,Loyal Customer,22,Business travel,Business,1620,4,4,4,4,5,5,5,5,3,3,5,5,5,5,0,0.0,satisfied
1348,1348,22258,Female,Loyal Customer,59,Business travel,Eco,145,4,2,2,2,1,1,3,4,4,4,4,5,4,4,1,9.0,satisfied
80987,80987,94758,Female,disloyal Customer,65,Business travel,Eco,239,2,1,2,3,1,2,1,1,2,4,3,3,2,1,0,0.0,neutral or dissatisfied
2225,2225,119992,Female,Loyal Customer,49,Business travel,Business,328,4,5,5,5,2,3,4,4,4,3,4,3,4,4,0,0.0,neutral or dissatisfied
60719,60719,105513,Male,disloyal Customer,25,Business travel,Business,611,4,0,4,2,4,4,4,4,5,4,4,3,4,4,2,0.0,satisfied
9795,9795,41746,Female,Loyal Customer,27,Personal Travel,Eco,695,3,3,3,4,4,3,4,4,4,3,4,4,3,4,7,14.0,neutral or dissatisfied
102988,102988,122693,Female,Loyal Customer,27,Personal Travel,Eco,361,2,4,2,1,1,2,1,1,4,4,5,4,4,1,0,0.0,neutral or dissatisfied
54457,54457,34666,Female,disloyal Customer,26,Business travel,Business,209,3,3,3,4,1,3,1,1,2,2,4,2,4,1,6,88.0,neutral or dissatisfied
76807,76807,11417,Male,disloyal Customer,37,Business travel,Business,301,5,5,5,3,4,5,4,4,5,2,5,4,4,4,0,0.0,satisfied
81430,81430,69095,Male,Loyal Customer,31,Personal Travel,Eco,1389,1,5,1,4,1,1,1,1,5,4,5,3,5,1,0,40.0,neutral or dissatisfied
7083,7083,76369,Male,Loyal Customer,36,Business travel,Business,3074,1,1,1,1,3,5,4,5,5,5,5,5,5,4,0,62.0,satisfied
85275,85275,107642,Female,disloyal Customer,40,Business travel,Business,405,3,3,3,3,3,3,3,4,2,4,4,3,3,3,132,164.0,neutral or dissatisfied
10426,10426,78802,Male,Loyal Customer,42,Personal Travel,Eco,447,1,5,1,3,4,1,4,4,5,2,4,4,5,4,0,15.0,neutral or dissatisfied
2212,2212,102965,Male,Loyal Customer,23,Business travel,Business,3414,2,2,2,2,5,5,5,5,5,5,5,3,5,5,1,0.0,satisfied
24579,24579,39701,Female,Loyal Customer,35,Business travel,Business,298,0,0,0,3,2,3,3,1,1,1,1,3,1,1,0,0.0,satisfied
78295,78295,29193,Female,Loyal Customer,47,Personal Travel,Eco Plus,978,3,5,4,3,5,5,5,5,5,4,5,5,5,4,33,38.0,neutral or dissatisfied
54012,54012,52836,Female,disloyal Customer,9,Business travel,Eco,1413,2,2,2,3,4,2,5,4,3,4,2,3,4,4,47,27.0,neutral or dissatisfied
32486,32486,85505,Female,Loyal Customer,36,Personal Travel,Eco,106,2,5,2,2,5,2,5,5,3,2,4,3,5,5,0,5.0,neutral or dissatisfied
12838,12838,27169,Female,Loyal Customer,66,Personal Travel,Eco,2701,3,4,2,3,2,3,3,5,4,4,5,3,4,3,0,20.0,neutral or dissatisfied
68313,68313,32447,Male,Loyal Customer,32,Business travel,Eco,163,5,4,4,4,5,5,5,5,5,1,2,2,2,5,0,0.0,satisfied
68156,68156,73755,Female,Loyal Customer,66,Personal Travel,Eco,192,3,5,3,5,4,4,5,4,4,3,3,5,4,4,52,51.0,neutral or dissatisfied
89626,89626,114219,Male,Loyal Customer,41,Business travel,Eco,957,4,1,3,1,4,4,4,4,2,4,4,3,4,4,0,0.0,neutral or dissatisfied
69660,69660,69595,Female,Loyal Customer,37,Personal Travel,Eco,2475,3,4,3,2,3,5,5,4,4,3,4,5,3,5,0,5.0,neutral or dissatisfied
77108,77108,76320,Female,Loyal Customer,48,Personal Travel,Eco,2182,3,2,3,4,2,4,4,2,2,3,3,2,2,3,3,0.0,neutral or dissatisfied
97203,97203,96211,Male,Loyal Customer,66,Business travel,Business,2799,1,5,5,5,2,3,3,1,1,1,1,2,1,2,0,0.0,neutral or dissatisfied
61311,61311,9475,Female,Loyal Customer,57,Personal Travel,Eco Plus,310,3,5,3,2,3,5,5,2,2,3,4,3,2,4,0,0.0,neutral or dissatisfied
59348,59348,83562,Female,disloyal Customer,37,Business travel,Business,936,3,3,3,3,3,3,3,3,3,3,3,4,4,3,0,0.0,neutral or dissatisfied
28882,28882,119372,Male,Loyal Customer,51,Business travel,Business,3472,3,3,3,3,5,5,4,3,3,3,3,4,3,5,0,0.0,satisfied
79077,79077,106767,Male,Loyal Customer,23,Personal Travel,Eco,945,4,2,4,3,2,4,5,2,3,4,3,1,4,2,0,0.0,satisfied
26660,26660,59529,Male,Loyal Customer,33,Business travel,Business,965,5,4,5,5,4,4,4,4,5,2,5,4,5,4,5,15.0,satisfied
65383,65383,107422,Male,Loyal Customer,52,Business travel,Business,325,2,3,1,3,4,4,4,2,2,2,2,3,2,3,85,87.0,neutral or dissatisfied
71111,71111,57502,Female,Loyal Customer,51,Personal Travel,Eco,1075,4,4,4,3,2,4,3,2,2,4,2,2,2,4,0,0.0,satisfied
82989,82989,88388,Male,Loyal Customer,37,Business travel,Business,2590,3,2,5,5,3,3,3,3,3,3,3,2,3,2,27,24.0,neutral or dissatisfied
46226,46226,120814,Male,Loyal Customer,44,Business travel,Eco,266,2,4,4,4,2,2,2,2,1,1,1,1,5,2,0,0.0,satisfied
69144,69144,63975,Male,Loyal Customer,22,Business travel,Eco Plus,1192,0,3,0,3,2,0,2,2,5,1,5,2,1,2,0,0.0,satisfied
19635,19635,121474,Female,Loyal Customer,47,Personal Travel,Eco,331,4,5,4,4,5,4,5,5,5,4,5,4,5,3,6,0.0,neutral or dissatisfied
2708,2708,71928,Female,disloyal Customer,36,Business travel,Business,1846,4,4,4,3,4,4,4,4,5,4,3,3,4,4,11,4.0,neutral or dissatisfied
13851,13851,65381,Male,Loyal Customer,33,Personal Travel,Eco,631,2,1,2,4,1,2,1,1,3,1,3,2,4,1,3,3.0,neutral or dissatisfied
32489,32489,120470,Male,Loyal Customer,57,Personal Travel,Eco,366,3,4,3,1,4,3,4,4,1,4,2,5,5,4,4,0.0,neutral or dissatisfied
82853,82853,21471,Male,disloyal Customer,38,Business travel,Eco,164,5,3,5,4,2,3,2,2,2,1,2,4,1,2,0,0.0,satisfied
6590,6590,95607,Female,Loyal Customer,23,Business travel,Eco,670,4,1,1,1,4,3,2,4,3,1,1,1,2,4,15,20.0,neutral or dissatisfied
39100,39100,79289,Female,Loyal Customer,41,Business travel,Business,2248,5,5,5,5,3,4,5,4,4,4,4,4,4,5,0,0.0,satisfied
56393,56393,88214,Male,Loyal Customer,53,Business travel,Business,366,2,2,2,2,3,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
29949,29949,44725,Female,Loyal Customer,70,Personal Travel,Eco,67,5,4,5,1,3,5,4,1,1,5,1,4,1,5,0,0.0,satisfied
